Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
ArquitectoTI,"Documentador en Obra LA PAZ, BCS - Pasantes Arquitectura",Grupo Siayec,Baja California Sur,Postedhace 5 días,"Tramitar permisos y libranzas, mantiendo la documentación actualizada.
Comunicar la actualización de los planos y generar la documentación necesaria derivada de…
Postedhace 5 días·más...","$10,000 al mes",4.2
ArquitectoTI,SysAdmin Administrador de servicios e infraestructura de TI...,MYJOBPRO.COM DE MEXICO,"Puebla, Pue.",Postedhace 13 días,"3 años en posiciones similares administrando sistemas en servidores físicos y/o virtuales (Comprobable, se cotejará).
Prioridad a ser organizado y metódico.
Postedhace 13 días·más...","$15,000 - $20,000 al mes",3.9
ArquitectoTI,Arquitecto de proyecto IT,Manpower Mexico,Ciudad de México,Postedhace 27 días,"Licenciatura en informática o carreras afines titulado.
Conocimiento SQL y otras bases de datos.
Conocimientos generales necesarios de hardware para proponer…
Postedhace 27 días·más...","$75,000 al mes",2.6
ArquitectoTI,ARQUITECTO JAVA,DESYSNET Consultores TI,+1 ubicaciónRemoto,Postedhace 30+ días,"Metodología de componentes y su interacción.
Estándares y normas para aplicar a la construcción de Software.
Conocimiento de comunicación entre aplicaciones SOA…
Postedhace 30+ días·más...","$60,000 - $70,000 al año",3.6
ArquitectoTI,Arquitecto Líder de proyectos lT Bilingüe,Manpower Mexico,Ciudad de México,Postedhace 30+ días,"Inglés Avanzado fluido (se realiza entrevista en inglés).
Haya trabajado últimamente con Ambiente Azure.
Conocimiento SQL y otras bases de datos.
Postedhace 30+ días·más...","$70,000 - $75,000 al mes",4.5
ArquitectoTI,ServiceNow Business Analyst,CAPITAL EMPRESARIAL HORIZONTE SA DE CV,"Guadalajara, Jal.",Postedhace 1 día,"Sueldo de $30,000 a $55,000 libres dependiendo aptitudes (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón,…
Postedhace 1 día·más...","$45,000 - $50,000 al mes",3.9
ArquitectoTI,Arquitecto de proyectos,Manpower Mexico,Ciudad de México,Postedhace 30+ días,"Licenciatura en informática o carreras afines titulado.
Conocimiento SQL y otras bases de datos.
Conocimientos generales necesarios de hardware para proponer…
Postedhace 30+ días·más...","$74,000 - $75,000 al mes",3.9
ArquitectoTI,"Arquitecto en TI CDMX, GDL o Qro",Capital Empresarial Horizonte,"Benito Juárez, CDMX",PostedRecién publicado,"Experiencia en un puesto de gestión de proyectos de TI o experiencia relevante en liderazgo de TI.
La experiencia en proyectos incluye múltiples tecnologías y…
PostedRecién publicado·más...","$30,000 - $85,000 al mes",3.2
ArquitectoTI,Arquitecto Dibujante (Proyectista),TETEL,"San Pedro Garza García, N. L.",Postedhace 17 días,"Conocimiento y manejo en Revit.
Postedhace 17 días·más...","$18,000 - $20,000 al mes",3.9
ArquitectoTI,"Te?cnico/as,Ingeniero/as,Arquitecto/as-Truncos,Pasantes,Egre...",Telecom & Energy Solutions,"Querétaro, Qro.",PostedHoy,"Si tienes bachillerato terminado o carrera trunca, tenemos oportunidad para ti.
Ingenieri?as y TSU.
No se requiere experiencia (te capacitamos en el a?rea de…
PostedHoy·más...","$5,000 - $6,000 al mes",4.5
ArquitectoTI,ARQUITECTO DE SOLUCIONES TI,Phinder,"Coyoacán, CDMX",Postedhace 11 días,"Conocimiento en patrones de seguridad y estándares de desarrollo.
Diseño de datos, diseño de integraciones y diseño de aplicaciones.
Postedhace 11 días·más...","$50,000 - $60,000 al mes",3.8
ArquitectoTI,Arquitecto Senior de TI,Grupo DECO Nacional,"San Pedro Garza García, N. L.",Postedhace 16 días,"Carrera profesional Ingeniería en Sistemas Computacionales o carrera afín.
Gestión de capacidad y demanda de negocio (deseable mas no requerida).
Postedhace 16 días·más...","$50,000 al mes",3.6
ArquitectoTI,"Te?cnicos,Ingeniero/as,Arquitecto/as-Truncos,Pasantes,Egresa...",Telecom & Energy Solutions,"Puebla, Pue.",Postedhace 30+ días,"Si tienes bachillerato terminado, carrera trunca o Licenciatura concluida, tenemos oportunidad para ti.
Ing. civiles, Arquitectos o carreras te?cnicas afines.
Postedhace 30+ días·más...","$5,000 - $6,000 al mes",4.4
ArquitectoTI,Asesor Comercial,Dune México,"Chilpancingo de los Bravos, Gro.",PostedHoy,"\* Especificación en Constructoras y/o despachos de arquitectos.
\* Buen manejo de PC de preferencia algún ERP.
PostedHoy·más...","$16,000 - $20,000 al mes",3.8
ArquitectoTI,Arquitecto de Microservicios 100% Remoto,Tecnologías y Aplicaciones México,"Guadalajara, Jal.•Remoto",Postedhace 15 días,"Experiencia en compilación usando Maven, Gradle.
Conocimiento de sistemas de seguridad como Oauth 2 y SAML.
Experiencia práctica con Postgres y SQL.
Postedhace 15 días·más...","$75,000 - $85,000 al mes",3.8
ArquitectoTI,Arquitecto de Apis y Servicio Cloud,Grupo Salinas S.A. de C.V.,"Tlalpan, CDMX•Remoto",Postedhace 26 días,"Escolaridad*: Carrera en Sistemas, Computación, Informática o afín (titulado).
Conocimientos sólidos en REST, Java, Springboot, JSON y SQL.
Postedhace 26 días·más...","$40,000 - $45,000 al mes",3.8
ArquitectoTI,Arquitecto IBM Cloud Watson/Remoto,GRUPO CSI,"Iztapalapa, CDMX•Remoto",Postedhace 10 días,"Cualquier otra carrera a nivel licenciatura relacionada con tecnología de información, ingeniería, ciencias exactas o económico-administrativa.
Postedhace 10 días·más...","$20,000 - $30,000 al mes",4.2
ArquitectoTI,Arquitecto de soluciones / Preventa,Datavision Digital,"Miguel Hidalgo, CDMX•Remoto temporalmente",Postedhace 30+ días,"Somos una Empresa Mexicana especializada en la *Integración de Tecnologías de la información (TI), Infraestructura, Procesos y Cloud Computing.
Postedhace 30+ días·más...","$29,000 - $30,000 al mes",1.2
ArquitectoTI,Asesor Comercial Pacífico,Dune México,"Culiacán, Sin.",Postedhace 26 días,"\* Especificación en Constructoras y/o despachos de arquitectos.
\* Buen manejo de PC de preferencia algún ERP.
Postedhace 26 días·más...","$15,000 - $18,000 al mes",3.9
ArquitectoTI,Asesor Comercial Noreste,Dune México,"Monterrey, N. L.",Postedhace 26 días,"\* Especificación en Constructoras y/o despachos de arquitectos.
\* Buen manejo de PC de preferencia algún ERP.
Postedhace 26 días·más...","$15,000 - $18,000 al mes",4.2
